Analysis Name,Condition,pH,EC(S) (uS/cm),P (ppm),K (ppm),Ca (ppm),Mg (ppm),Mn (ppm),S (ppm),Cu (ppm),B (ppm),Zn (ppm),Na (ppm),Fe (ppm),C.E.C (meq/100g),N (%),T-C (%),%Sand (%),%Silt (%),%Clay (%),Ca% (%),Mg% (%),K% (%),Na% (%),OB% (%),H% (%),Ca:Mg (%),Latitude,Longitude,Region,Texture,Recommandation
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.65,19.2,12.9,26.2,198.0,43.4,7.92,4.85,0.43,0.12,0.89,13.5,29.7,2.16,0.04,0.45,89.6,9.28,1.08,45.8,16.7,3.11,2.72,6.1,25.5,2.74,14.70312,-16.51493,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.62,33.1,18.8,48.4,225.0,42.8,10.3,5.23,0.29,0.14,0.81,14.8,28.9,2.48,< 0.01,0.16,89.6,9.28,1.08,45.4,14.4,5.01,2.6,6.16,26.4,3.15,14.70371,-16.52202,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.25,22.3,24.4,64.1,181.0,35.3,5.96,5.84,0.40,0.22,0.53,13.7,53.0,2.56,0.011,0.21,89.6,4.64,5.72,35.4,11.5,6.42,2.33,6.9,37.5,3.08,14.70371,-16.52202,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.7,22.4,8.52,62.8,184.0,31.8,13.1,6.9,0.32,0.11,1.82,35.5,25.1,2.14,0.012,0.22,89.6,9.28,1.08,42.9,12.4,7.51,7.2,6.0,24.0,3.47,14.71073,-16.51614,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.09,41.4,11.1,80.7,187.0,40.7,14.2,4.48,0.25,0.17,0.90,17.2,26.2,1.92,< 0.01,0.18,94.6,4.28,1.08,48.8,17.7,10.8,3.9,5.22,13.7,2.76,14.71073,-16.51614,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.25,16.5,10.2,35.9,230.0,46.7,9.66,4.31,0.44,0.22,0.25,17.4,33.9,3.07,0.044,0.48,94.6,4.28,1.08,37.5,12.7,3.0,2.46,6.9,37.5,2.96,14.70845,-16.51037,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.17,44.1,10.4,46.9,248.0,57.7,11.6,4.63,0.34,0.15,0.74,18.3,28.1,2.33,< 0.01,0.18,94.6,4.28,1.08,53.1,20.6,5.15,3.41,5.23,12.4,2.58,14.70845,-16.51037,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.23,237.0,10.4,39.4,194.0,53.7,18.2,3.65,0.28,0.15,1.60,9.27,30.2,1.87,0.037,0.4,94.6,4.28,1.08,51.8,23.9,5.4,2.15,5.17,11.6,2.17,14.71558,-16.51195,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.85,20.1,7.9,36.9,202.0,42.1,14.1,3.66,0.35,0.067,0.94,17.2,27.1,2.05,0.031,0.32,94.6,4.28,1.08,49.4,17.1,4.62,3.66,5.7,19.5,2.88,14.71558,-16.51195,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.59,114.0,68.5,48.0,1210.0,330.0,45.9,12.5,1.35,0.57,1.96,21.4,54.5,9.37,< 0.01,0.14,83.2,9.64,7.16,64.5,29.3,1.31,0.99,3.81,0.0,2.2,14.7097,-16.47865,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.41,88.8,43.5,24.0,1010.0,258.0,49.3,8.8,1.69,0.49,1.33,24.1,49.5,7.67,0.017,0.32,88.6,4.28,7.16,65.8,28.0,0.8,1.37,3.99,0.0,2.35,14.7097,-16.47865,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.11,48.5,12.5,22.9,252.0,49.6,19.6,6.5,0.23,0.24,0.77,10.8,32.7,2.19,< 0.01,0.17,88.9,10.7,0.36,57.6,18.9,2.69,2.15,5.29,13.3,3.05,14.7313,-16.50927,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.89,28.3,8.47,7.42,153.0,32.0,14.5,4.03,0.23,0.17,0.36,6.13,27.9,1.42,0.01,0.2,90.0,9.64,0.36,54.0,18.8,1.34,1.88,5.62,18.3,2.87,14.7313,-16.50927,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.67,13.8,14.1,22.2,163.0,26.6,6.86,3.73,0.28,0.17,0.34,16.3,34.8,1.69,0.015,0.27,89.6,10.0,0.36,48.3,13.1,3.37,4.2,6.06,24.9,3.68,14.73918,-16.51238,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.05,22.8,12.3,7.34,172.0,32.1,10.3,4.23,< 0.20,0.18,1.20,4.83,30.6,1.45,0.011,0.21,94.6,5.0,0.36,59.3,18.4,1.3,1.45,5.3,14.3,3.21,14.73918,-16.51238,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.97,21.2,7.33,58.2,258.0,45.0,15.7,5.45,0.37,0.12,0.63,23.8,32.4,2.44,0.012,0.24,89.6,5.0,5.36,52.9,15.4,6.12,4.24,5.46,15.9,3.44,14.7446,-16.51751,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.07,30.8,10.8,19.6,277.0,51.6,18.5,5.47,0.34,0.16,0.68,8.05,33.7,2.35,0.013,0.24,89.6,10.0,0.36,58.9,18.3,2.14,1.49,5.26,13.9,3.22,14.7446,-16.51751,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.22,65.0,18.6,49.2,305.0,52.5,14.0,5.97,0.27,0.16,2.10,14.5,44.4,2.59,0.014,0.29,89.6,4.64,5.72,58.9,16.9,4.87,2.44,5.18,11.7,3.49,14.73259,-16.50671,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.75,21.7,9.75,26.0,199.0,41.5,5.48,3.79,0.25,0.10,0.71,12.8,46.8,2.04,0.017,0.31,89.6,9.64,0.72,48.7,16.9,3.26,2.72,5.9,22.5,2.88,14.73259,-16.50671,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.77,20.5,16.8,26.7,217.0,48.5,8.78,5.34,0.34,0.11,0.73,12.1,36.4,2.23,0.019,0.36,90.0,4.64,5.36,48.7,18.1,3.07,2.36,5.86,21.9,2.68,14.73431,-16.49136,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.19,36.1,15.1,33.4,255.0,51.1,11.7,5.71,0.30,0.17,1.34,14.6,32.9,2.24,0.02,0.35,89.6,9.64,0.72,57.0,19.0,3.83,2.84,5.21,12.2,2.99,14.73431,-16.49136,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.43,46.6,5.43,42.1,423.0,141.0,38.2,6.48,0.30,0.18,0.90,13.1,43.6,4.0,0.013,0.25,84.6,9.28,6.08,52.9,29.4,2.7,1.43,4.97,8.55,1.8,14.73609,-16.49038,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.35,29.4,3.29,38.0,511.0,166.0,34.2,5.98,0.27,0.18,0.37,7.85,43.9,4.78,0.031,0.51,85.0,9.64,5.36,53.5,29.0,2.04,0.71,5.05,9.75,1.85,14.73609,-16.49038,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.25,27.4,5.14,17.3,357.0,102.0,32.1,5.36,0.29,0.15,0.52,11.7,51.2,3.27,0.019,0.19,85.4,8.92,5.72,54.7,26.0,1.36,1.56,5.15,11.3,2.1,14.73807,-16.4895,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.33,45.9,7.06,17.7,362.0,91.0,30.8,5.81,0.26,0.19,1.15,7.48,41.1,3.12,0.024,0.46,89.6,4.64,5.72,58.1,24.3,1.46,1.04,5.07,10.1,2.39,14.73807,-16.4895,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.47,13.1,12.6,61.3,176.0,46.2,9.02,5.37,0.30,0.15,0.69,27.6,52.0,2.46,0.015,0.14,89.6,9.64,0.72,35.7,15.6,6.38,4.87,6.46,30.9,2.29,14.74049,-16.48823,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.76,15.4,11.8,12.6,198.0,45.1,10.3,4.86,0.23,0.095,0.70,7.8,38.0,1.99,0.015,0.15,85.0,13.9,1.08,49.7,18.9,1.62,1.7,5.88,22.2,2.63,14.74049,-16.48823,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.54,12.6,6.68,25.1,233.0,62.4,6.84,5.07,0.30,0.21,0.54,15.4,50.0,2.8,0.011,0.15,89.6,4.64,5.72,41.6,18.6,2.3,2.39,6.32,28.8,2.24,14.73381,-16.48861,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.97,42.6,9.96,40.0,290.0,79.3,14.2,5.69,0.30,0.18,0.67,14.5,54.5,2.89,0.018,0.21,90.0,4.28,5.72,50.1,22.8,3.54,2.18,5.46,15.9,2.19,14.73381,-16.48861,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.41,30.0,5.21,38.8,993.0,270.0,46.5,7.88,0.54,0.14,0.49,21.3,55.7,8.6,0.024,0.26,79.3,14.6,6.08,57.8,26.2,1.16,1.08,4.99,8.85,2.21,14.7165,-16.46503,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.52,50.7,7.57,49.5,783.0,211.0,43.9,6.97,0.44,0.22,0.71,11.0,54.4,6.65,0.028,0.29,85.0,8.92,6.08,58.9,26.4,1.91,0.72,4.88,7.2,2.23,14.7165,-16.46503,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.12,21.4,4.02,75.6,136.0,32.0,106.0,11.5,0.46,0.20,0.35,13.1,80.7,2.33,0.021,0.3,80.0,9.28,10.7,29.2,11.5,8.33,2.45,7.16,41.4,2.55,12.83832,-15.57573,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.1,30.0,8.46,98.0,98.9,32.5,73.4,7.6,0.38,0.21,0.42,19.9,76.2,2.17,0.02,0.35,80.0,9.28,10.7,22.8,12.5,11.6,3.98,7.2,42.0,1.83,12.83832,-15.57573,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.98,49.2,7.02,59.6,147.0,42.5,77.3,10.5,0.38,0.20,0.40,14.3,59.7,2.77,0.019,0.33,75.0,9.64,15.4,26.6,12.8,5.53,2.25,7.44,45.4,2.08,12.84021,-15.58325,Sédhiou,Sable argileux,Ajouter du compost pour équilibrer l'aération et la rétention d'eau.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.7,46.3,10.2,70.8,110.0,30.1,66.1,6.84,0.38,0.18,0.72,20.4,56.0,2.61,0.017,0.33,79.6,9.64,10.7,21.1,9.6,6.95,3.4,8.0,51.0,2.19,12.84021,-15.58325,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.85,28.9,4.6,56.7,112.0,37.7,73.1,8.37,0.39,0.15,0.27,14.6,58.4,2.44,0.018,0.31,69.6,14.3,16.1,22.9,12.9,5.95,2.6,7.7,48.0,1.78,12.83754,-15.58326,Sédhiou,Mixte,Aucune recommandation spécifique.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.78,41.2,9.5,56.1,119.0,40.8,51.5,6.21,0.40,0.15,0.37,14.4,53.1,2.67,0.022,0.36,79.6,14.6,5.72,22.3,12.7,5.39,2.35,7.84,49.4,1.75,12.83754,-15.58326,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.82,25.0,6.83,70.1,128.0,51.5,55.2,9.33,0.46,0.20,0.57,18.2,59.7,3.04,0.016,0.25,79.6,9.28,11.1,21.0,14.1,5.91,2.6,7.76,48.6,1.49,12.83819,-15.58431,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.0,24.3,10.4,58.0,109.0,45.4,37.2,5.68,0.36,0.19,1.06,9.98,46.4,2.34,0.017,0.29,84.6,9.28,6.08,23.3,16.1,6.35,1.85,7.4,45.0,1.44,12.83819,-15.58431,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.67,22.8,18.5,58.8,79.6,30.3,4.95,6.77,0.26,0.16,0.41,15.1,65.2,2.15,0.016,0.23,84.6,9.64,5.72,18.5,11.7,7.02,3.05,8.06,51.6,1.58,12.82885,-15.5863,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.77,18.0,16.3,102,65.1,24.3,5.21,7.87,0.30,0.18,0.32,16.6,60.2,2.03,0.011,0.18,79.6,10.0,10.4,16.1,10.0,12.9,3.56,7.86,49.6,1.61,12.82885,-15.5863,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.22,38.0,68.9,90.2,688.0,85.2,77.6,8.74,0.74,0.33,13.0,15.0,86.6,5.35,0.057,0.71,75.0,13.9,11.1,64.3,13.3,4.32,1.22,5.18,11.7,4.85,12.82961,-15.58995,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.79,112.0,128.0,123,1880.0,141.0,105.0,23.3,1.16,0.50,41.4,12.9,150.0,11.9,0.10,1.16,74.6,15.0,10.4,79.2,9.9,2.66,0.47,4.61,3.15,8.0,12.82961,-15.58995,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.86,26.6,8.57,59.7,135.0,46.6,65.0,8.04,0.57,0.10,0.34,12.3,62.1,2.85,0.022,0.5,83.9,10.0,6.08,23.7,13.6,5.37,1.87,7.68,47.8,1.74,12.838,-15.57742,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.76,16.2,4.6,61.6,155.0,46.5,79.4,9.77,0.66,0.18,< 0.20,19.4,64.9,3.32,0.018,0.33,73.9,10.0,16.1,23.3,11.7,4.76,2.54,7.88,49.8,2.0,12.838,-15.57742,Sédhiou,Sable argileux,Ajouter du compost pour équilibrer l'aération et la rétention d'eau.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.83,16.8,6.17,51.2,96.4,34.6,48.5,7.51,0.40,0.13,0.27,13.4,48.8,2.19,0.018,0.27,78.9,10.0,11.1,22.0,13.2,6.0,2.66,7.74,48.4,1.67,12.83796,-15.5792,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.7,15.1,4.01,55.3,115.0,42.7,50.5,9.09,0.50,0.16,0.31,15.2,45.7,2.78,0.018,0.3,83.9,10.0,6.08,20.7,12.8,5.11,2.38,8.0,51.0,1.62,12.83796,-15.5792,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.19,14.6,8.27,46.0,131.0,45.5,72.1,6.65,0.44,0.049,< 0.20,9.31,65.2,2.22,0.027,0.43,83.9,9.64,6.44,29.5,17.1,5.31,1.82,7.02,39.3,1.73,12.84034,-15.58398,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.91,17.1,3.55,50.3,152.0,43.2,104.0,7.95,0.48,0.078,0.25,9.37,69.6,2.83,0.026,0.39,73.9,10.0,16.1,26.9,12.7,4.56,1.44,7.58,46.8,2.11,12.84034,-15.58398,Sédhiou,Sable argileux,Ajouter du compost pour équilibrer l'aération et la rétention d'eau.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.38,25.5,16.3,120,101.0,38.6,22.4,6.06,0.30,0.16,0.59,15.5,51.2,2.01,0.023,0.33,88.9,10.0,1.08,25.1,16.0,15.3,3.35,6.64,33.6,1.57,12.83739,-15.58558,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.97,59.6,5.31,80.5,108.0,40.9,41.0,7.69,0.51,0.15,1.38,32.5,63.7,2.62,0.021,0.28,78.9,10.0,11.1,20.6,13.0,7.89,5.4,7.46,45.6,1.58,12.83739,-15.58558,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.99,15.9,4.01,23.0,149.0,25.2,27.9,7.93,0.49,0.18,0.63,22.6,112.0,2.35,0.026,0.39,68.9,15.0,16.1,31.7,8.95,2.51,4.19,7.42,45.2,3.55,12.83045,-15.58614,Sédhiou,Sable limoneux,Ajouter un peu de matière organique pour équilibrer la rétention d'eau et la perméabilité.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,4.92,18.8,7.23,32.6,154.0,35.6,31.3,8.15,0.52,0.16,0.45,11.7,125.0,2.62,0.039,0.51,73.9,15.4,10.7,29.4,11.3,3.19,1.94,7.56,46.6,2.6,12.83045,-15.58614,Sédhiou,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.95,20.6,10.1,20.8,208.0,33.7,10.1,4.18,0.27,0.12,0.34,7.43,33.9,1.8,0.019,0.2,93.2,4.64,2.16,57.7,15.6,2.96,1.79,5.5,16.5,3.7,14.7916,-16.68667,Thiès,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.26,46.8,15.1,37.9,377.0,54.7,14.4,7.52,0.29,0.22,0.81,24.0,35.7,3.04,0.03,0.3,93.6,4.28,2.16,62.1,15.0,3.2,3.44,5.14,11.1,4.14,14.7916,-16.68667,Thiès,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.54,23.0,27.5,30.6,154.0,22.4,7.48,5.89,0.27,0.081,0.36,5.15,46.8,1.63,0.02,0.22,92.8,5.0,2.16,47.2,11.5,4.81,1.37,6.32,28.8,4.13,14.7916,-16.68667,Thiès,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.31,13.6,20.3,15.7,82.4,13.2,3.34,5.43,0.30,0.10,0.21,5.15,48.2,1.02,0.026,0.3,92.8,5.0,2.16,40.5,10.8,3.96,2.2,6.78,35.7,3.75,14.7916,-16.68667,Thiès,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.05,13.9,11.5,26.3,39.8,8.98,3.18,4.96,0.21,0.14,0.32,12.2,53.7,0.8,0.017,0.21,93.9,5.72,0.36,24.8,9.34,8.41,6.62,7.3,43.5,2.66,14.78747,-16.68554,Thiès,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.24,21.2,16.8,54.7,69.6,15.1,3.74,5.64,0.21,0.16,0.27,12.2,54.6,1.21,0.018,0.23,93.2,4.64,2.16,28.8,10.4,11.6,4.4,6.92,37.8,2.77,14.78747,-16.68554,Thiès,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.07,12.2,9.15,16.0,56.1,9.7,6.24,5.47,0.59,0.079,0.53,7.38,43.4,0.87,0.028,0.32,88.9,5.0,6.08,32.2,9.27,4.71,3.68,7.26,42.9,3.47,14.78609,-16.69118,Thiès,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.16,26.2,12.4,24.0,99.3,20.1,7.19,5.89,0.20,0.11,0.21,11.0,46.8,1.47,0.014,0.14,83.9,5.36,10.7,33.8,11.4,4.2,3.26,7.08,40.2,2.96,14.78609,-16.69118,Thiès,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.71,17.6,15.6,21.1,387.0,92.6,9.72,5.67,0.79,0.12,0.79,10.1,59.1,3.99,0.042,0.5,89.6,4.28,6.08,48.5,19.3,1.36,1.1,5.98,23.7,2.51,14.68747,-16.4272,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.77,26.5,12.9,32.6,344.0,74.5,15.0,6.14,0.65,0.10,1.58,19.0,51.3,3.47,0.042,0.45,89.3,9.64,1.08,49.6,17.9,2.41,2.38,5.86,21.9,2.77,14.68747,-16.4272,Diourbel,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
